EVSE_Type,Year,Accessibility
All EVSE,Year2014,137.7649284
All EVSE,Year2014,104.2068392
All EVSE,Year2014,42.91805179
All EVSE,Year2014,55.34055257
All EVSE,Year2014,23.83076374
All EVSE,Year2014,42.58159526
All EVSE,Year2014,911.4049069
All EVSE,Year2014,9.645840156
All EVSE,Year2014,21.41364004
All EVSE,Year2014,69.24924197
All EVSE,Year2014,87.80325228
All EVSE,Year2014,18.1932222
All EVSE,Year2014,61.27666329
All EVSE,Year2014,87.92301263
All EVSE,Year2014,301.9250298
All EVSE,Year2014,34.54120143
All EVSE,Year2014,199.4957494
All EVSE,Year2014,15.82156186
All EVSE,Year2014,25.42270915
All EVSE,Year2014,51.84092011
All EVSE,Year2014,19.87840814
All EVSE,Year2014,87.55695583
All EVSE,Year2014,148.0287538
All EVSE,Year2014,15.84476406
All EVSE,Year2014,99.87708389
All EVSE,Year2014,573.1437906
All EVSE,Year2014,16.34322973
All EVSE,Year2014,7.630183147
All EVSE,Year2014,28.56726757
All EVSE,Year2014,70.57980881
All EVSE,Year2014,45.10700592
All EVSE,Year2014,9.525175616
All EVSE,Year2014,26.28973082
All EVSE,Year2014,13.52083824
All EVSE,Year2014,18.619914
All EVSE,Year2014,23.12010574
All EVSE,Year2014,21.82139834
All EVSE,Year2014,20.69556561
All EVSE,Year2014,22.9207166
All EVSE,Year2014,31.3823044
All EVSE,Year2014,10.34035243
All EVSE,Year2014,23.30780178
All EVSE,Year2014,49.18575489
All EVSE,Year2014,26.11256776
All EVSE,Year2014,28.50454186
All EVSE,Year2014,609.9275289
All EVSE,Year2014,14.79784765
All EVSE,Year2014,11.72761097
All EVSE,Year2014,10.09550567
All EVSE,Year2014,18.61443609
All EVSE,Year2014,29.50043242
All EVSE,Year2014,35.90106856
All EVSE,Year2014,13.02659389
All EVSE,Year2014,20.79570866
All EVSE,Year2014,8.784238509
All EVSE,Year2014,19.18990262
All EVSE,Year2014,18.4212009
All EVSE,Year2014,13.8453805
All EVSE,Year2014,14.48241047
All EVSE,Year2014,31.41720084
All EVSE,Year2014,35.05736276
