EVSE_Type,Year,Accessibility
All EVSE,Year2014,9.081108909938935
All EVSE,Year2014,2.019746529093925
All EVSE,Year2014,0.3246684355027183
All EVSE,Year2014,8.171957848101782
All EVSE,Year2014,1.9589302348014528
All EVSE,Year2014,1.7805656897351398
All EVSE,Year2014,16.40073982856428
All EVSE,Year2014,4.423937572477608
All EVSE,Year2014,0.6325587776433813
All EVSE,Year2014,6.460226841574644
All EVSE,Year2014,4.226732914955353
All EVSE,Year2014,1.876908816713333
All EVSE,Year2014,1.9804380141372304
All EVSE,Year2014,2.346905939288222
All EVSE,Year2014,1.6200402101173987
All EVSE,Year2014,1.0376588471536772
All EVSE,Year2014,8.263616728903015
All EVSE,Year2014,3.995076916806648
All EVSE,Year2014,6.10390932961
All EVSE,Year2014,12.516816325324104
All EVSE,Year2014,9.632482070658602
All EVSE,Year2014,0.817530812529214
All EVSE,Year2014,1.1024195374124912
All EVSE,Year2014,13.718393626244223
All EVSE,Year2014,3.2234837371447758
All EVSE,Year2014,6.210102339833573
All EVSE,Year2014,1.5578852050797205
All EVSE,Year2014,1.927189265067528
All EVSE,Year2014,2.924672328017381
All EVSE,Year2014,1.4461965843844582
All EVSE,Year2014,1.4233384221118488
All EVSE,Year2014,6.0729151984592615
All EVSE,Year2014,1.2131716444918508
All EVSE,Year2014,2.892480231369743
All EVSE,Year2014,0.9833409118981764
All EVSE,Year2014,0.9757169053971816
All EVSE,Year2014,19.263513671657417
All EVSE,Year2014,1.1781043651080008
All EVSE,Year2014,8.057099529324532
All EVSE,Year2014,3.700416327212463
All EVSE,Year2014,1.6414043621787129
All EVSE,Year2014,0.9008241140082206
All EVSE,Year2014,1.4374567513579877
All EVSE,Year2014,1.7827775480663084
All EVSE,Year2014,13.807635957588175
All EVSE,Year2014,3.5083317018970286
All EVSE,Year2014,2.0230935737207063
All EVSE,Year2014,13.34558715000876
All EVSE,Year2014,2.480529005588019
All EVSE,Year2014,2.717925164357529
All EVSE,Year2014,7.220830707167702
All EVSE,Year2014,3.759935466771623
All EVSE,Year2014,2.6838918402021177
All EVSE,Year2014,14.614448109136235
All EVSE,Year2014,1.9247676467679145
All EVSE,Year2014,96.8079758234446
All EVSE,Year2014,2.434683276319484
All EVSE,Year2014,0.5654729457632475
All EVSE,Year2014,3.096872781383861
All EVSE,Year2014,0.2871811054010283
All EVSE,Year2014,3.121681210288852
All EVSE,Year2014,3.2448073608771235
All EVSE,Year2014,3.4578479504808928
All EVSE,Year2014,1.0122472391303738
All EVSE,Year2014,1.2828717255835116
All EVSE,Year2014,0.9560300442535324
All EVSE,Year2014,17.160287457049638
All EVSE,Year2014,0.355427652643389
All EVSE,Year2014,3.375640791291126
All EVSE,Year2014,0.2462363957330181
All EVSE,Year2014,0.9349605124795968
All EVSE,Year2014,0.4747441606915689
All EVSE,Year2014,1.3420479214012189
All EVSE,Year2014,1.1062123560088544
All EVSE,Year2014,1.932433410371168
All EVSE,Year2014,1.8615728963420115
All EVSE,Year2014,1.164274100999456
All EVSE,Year2014,0.0645465451139402
All EVSE,Year2014,0.9814986129616234
All EVSE,Year2014,0.1555563356315045
All EVSE,Year2014,1.058137346726709
All EVSE,Year2014,0.9527507264478924
All EVSE,Year2014,0.7378943011012701
All EVSE,Year2014,4.7507203680752905
All EVSE,Year2014,2.2764643544158973
All EVSE,Year2014,1.7754883848971337
All EVSE,Year2014,2.856767404339926
All EVSE,Year2014,1.1696610124056117
All EVSE,Year2014,1.5525493869476596
All EVSE,Year2014,5.322985635277211
All EVSE,Year2014,2.4590539986989786
All EVSE,Year2014,2.090139938542115
All EVSE,Year2014,2.825452693863499
All EVSE,Year2014,0.6844872757160673
All EVSE,Year2014,2.146102299738687
All EVSE,Year2014,117.17668967321517
All EVSE,Year2014,1.8243971645696504
All EVSE,Year2014,43.21812061794592
All EVSE,Year2014,2.678064043016492
All EVSE,Year2014,5.640336768720262
All EVSE,Year2014,7.955468921508568
All EVSE,Year2014,7.109749041661226
All EVSE,Year2014,0.4541110599095379
All EVSE,Year2014,16.480640249714757
All EVSE,Year2014,0.920654426275979
All EVSE,Year2014,10.459734150020315
All EVSE,Year2014,0.3853044336185377
All EVSE,Year2014,24.282998771670265
All EVSE,Year2014,11.30840166261846
All EVSE,Year2014,11.28974626307066
All EVSE,Year2014,9.958336703445749
All EVSE,Year2014,4.592494031188124
All EVSE,Year2014,13.844036549853817
All EVSE,Year2014,8.926876361483956
All EVSE,Year2014,2.7575611330259626
All EVSE,Year2014,3.551200025454933
