,Year,EVSE_Count
326,2014,2.0
330,2014,4.0
332,2014,4.0
335,2014,1.0
336,2014,2.0
337,2014,2.0
338,2014,1.0
339,2014,4.0
340,2014,2.0
341,2014,2.0
342,2014,1.0
343,2014,1.0
344,2014,1.0
345,2014,1.0
350,2014,1.0
351,2014,1.0
352,2014,1.0
353,2014,1.0
354,2014,1.0
355,2014,2.0
357,2014,1.0
358,2014,1.0
359,2014,1.0
360,2014,4.0
361,2014,1.0
362,2014,1.0
363,2014,1.0
364,2014,2.0
365,2014,2.0
367,2014,1.0
368,2014,3.0
369,2014,13.0
370,2014,1.0
371,2014,1.0
372,2014,1.0
373,2014,1.0
374,2014,2.0
376,2014,2.0
377,2014,3.0
378,2014,1.0
379,2014,4.0
380,2014,2.0
381,2014,1.0
382,2014,4.0
387,2014,2.0
388,2014,1.0
389,2014,1.0
390,2014,1.0
391,2014,1.0
392,2014,2.0
393,2014,1.0
394,2014,1.0
395,2014,1.0
396,2014,1.0
397,2014,1.0
398,2014,1.0
399,2014,1.0
400,2014,1.0
401,2014,1.0
402,2014,2.0
403,2014,1.0
404,2014,1.0
405,2014,1.0
406,2014,1.0
407,2014,1.0
408,2014,1.0
409,2014,4.0
410,2014,1.0
411,2014,1.0
412,2014,1.0
416,2014,5.0
417,2014,4.0
418,2014,12.0
422,2014,3.0
423,2014,3.0
424,2014,5.0
425,2014,2.0
426,2014,3.0
427,2014,1.0
428,2014,1.0
449,2014,1.0
450,2014,1.0
455,2014,1.0
457,2014,1.0
458,2014,1.0
459,2014,1.0
460,2014,1.0
463,2014,1.0
465,2014,2.0
467,2014,3.0
469,2014,1.0
470,2014,1.0
471,2014,1.0
472,2014,1.0
473,2014,1.0
474,2014,2.0
475,2014,1.0
476,2014,1.0
477,2014,1.0
478,2014,2.0
480,2014,1.0
481,2014,1.0
482,2014,1.0
483,2014,1.0
485,2014,1.0
486,2014,1.0
487,2014,1.0
488,2014,1.0
489,2014,1.0
490,2014,2.0
491,2014,2.0
492,2014,1.0
494,2014,2.0
497,2014,1.0
498,2014,1.0
499,2014,1.0
500,2014,1.0
501,2014,2.0
502,2014,3.0
503,2014,3.0
504,2014,1.0
505,2014,1.0
506,2014,2.0
507,2014,1.0
508,2014,1.0
509,2014,2.0
510,2014,1.0
511,2014,1.0
512,2014,2.0
513,2014,2.0
514,2014,1.0
515,2014,1.0
516,2014,1.0
519,2014,1.0
521,2014,1.0
522,2014,1.0
523,2014,1.0
525,2014,2.0
526,2014,1.0
527,2014,1.0
528,2014,1.0
