,Year,EVSE_Count
7742,2014,6.0
7743,2014,4.0
7752,2014,1.0
7783,2014,2.0
7784,2014,2.0
7785,2014,2.0
7786,2014,2.0
7787,2014,2.0
7788,2014,2.0
7790,2014,2.0
7807,2014,1.0
7808,2014,1.0
7809,2014,2.0
7810,2014,1.0
7811,2014,1.0
7839,2014,6.0
7840,2014,6.0
7841,2014,8.0
7870,2014,2.0
7907,2014,2.0
7920,2014,2.0
7933,2014,1.0
7937,2014,1.0
7945,2014,1.0
7948,2014,1.0
7954,2014,3.0
7955,2014,1.0
7956,2014,1.0
7957,2014,1.0
7958,2014,1.0
7966,2014,4.0
7971,2014,1.0
7996,2014,1.0
8005,2014,2.0
8045,2014,5.0
8046,2014,4.0
8047,2014,6.0
8058,2014,2.0
8060,2014,2.0
8061,2014,2.0
8062,2014,2.0
8063,2014,2.0
8064,2014,2.0
8065,2014,2.0
8086,2014,1.0
8138,2014,6.0
8139,2014,6.0
8140,2014,8.0
8160,2014,1.0
8243,2014,1.0
8264,2014,6.0
8265,2014,1.0
8285,2014,1.0
8286,2014,1.0
8297,2014,1.0
8322,2014,2.0
8328,2014,2.0
8374,2014,1.0
8382,2014,1.0
8399,2014,1.0
8440,2014,1.0
8461,2014,1.0
8462,2014,1.0
8467,2014,1.0
8500,2014,2.0
8507,2014,2.0
8538,2014,2.0
8545,2014,6.0
8546,2014,10.0
8547,2014,8.0
8548,2014,4.0
8549,2014,8.0
8550,2014,8.0
8590,2014,1.0
8602,2014,1.0
8603,2014,1.0
8604,2014,1.0
8605,2014,1.0
8606,2014,1.0
8626,2014,1.0
8680,2014,2.0
8683,2014,1.0
8715,2014,1.0
8794,2014,1.0
8904,2014,1.0
8905,2014,1.0
8906,2014,1.0
8907,2014,1.0
8908,2014,1.0
8909,2014,1.0
8910,2014,1.0
8911,2014,1.0
8912,2014,1.0
8913,2014,1.0
8914,2014,1.0
8916,2014,1.0
8917,2014,1.0
8918,2014,1.0
8920,2014,1.0
8921,2014,1.0
8922,2014,1.0
8923,2014,1.0
8924,2014,1.0
8925,2014,1.0
8926,2014,1.0
8927,2014,1.0
8928,2014,1.0
8929,2014,1.0
8930,2014,1.0
8931,2014,1.0
8932,2014,1.0
8933,2014,1.0
8934,2014,1.0
8935,2014,1.0
8936,2014,1.0
8937,2014,1.0
8938,2014,1.0
8939,2014,1.0
8940,2014,1.0
8941,2014,1.0
8942,2014,1.0
8943,2014,1.0
8944,2014,1.0
8945,2014,1.0
8946,2014,1.0
8947,2014,1.0
8948,2014,1.0
8949,2014,1.0
8950,2014,1.0
8951,2014,2.0
8952,2014,2.0
8953,2014,1.0
8954,2014,3.0
8955,2014,2.0
8956,2014,1.0
8957,2014,1.0
8958,2014,1.0
8959,2014,1.0
8960,2014,1.0
8961,2014,1.0
8962,2014,3.0
8963,2014,1.0
8964,2014,1.0
8965,2014,2.0
8966,2014,2.0
8967,2014,2.0
8968,2014,2.0
8969,2014,1.0
8970,2014,1.0
8971,2014,1.0
8972,2014,1.0
9032,2014,1.0
9035,2014,1.0
9038,2014,4.0
9066,2014,2.0
9067,2014,2.0
69593,2015,8.0
69601,2015,8.0
69612,2015,8.0
69715,2015,2.0
69774,2015,1.0
69819,2015,1.0
69977,2015,2.0
70006,2015,1.0
70016,2015,1.0
70102,2015,1.0
70117,2015,1.0
70145,2015,1.0
70148,2015,1.0
70149,2015,1.0
70152,2015,1.0
70160,2015,1.0
70178,2015,1.0
70185,2015,1.0
70186,2015,1.0
70188,2015,1.0
70189,2015,1.0
70192,2015,1.0
70193,2015,1.0
70194,2015,1.0
70195,2015,1.0
70198,2015,1.0
70199,2015,1.0
70208,2015,1.0
70216,2015,1.0
70217,2015,1.0
70221,2015,1.0
70222,2015,1.0
70227,2015,1.0
70231,2015,1.0
70233,2015,1.0
70234,2015,1.0
70235,2015,1.0
70249,2015,1.0
70251,2015,1.0
70253,2015,1.0
70255,2015,1.0
70256,2015,1.0
70258,2015,2.0
70261,2015,1.0
70263,2015,1.0
70265,2015,1.0
70266,2015,1.0
70267,2015,1.0
70268,2015,1.0
70274,2015,1.0
70275,2015,1.0
70284,2015,1.0
70304,2015,1.0
70308,2015,1.0
70310,2015,1.0
70314,2015,1.0
70315,2015,1.0
70330,2015,1.0
70332,2015,1.0
70334,2015,1.0
70336,2015,1.0
70337,2015,1.0
70359,2015,1.0
70361,2015,1.0
70363,2015,1.0
70366,2015,1.0
70370,2015,1.0
70372,2015,1.0
70377,2015,1.0
70380,2015,1.0
70383,2015,1.0
70386,2015,1.0
70388,2015,1.0
70389,2015,1.0
70418,2015,1.0
70434,2015,1.0
70435,2015,1.0
70439,2015,1.0
70458,2015,1.0
70545,2015,1.0
70609,2015,1.0
70644,2015,1.0
70646,2015,1.0
70647,2015,1.0
70648,2015,1.0
70778,2015,1.0
70779,2015,1.0
70780,2015,1.0
70834,2015,1.0
70835,2015,1.0
70950,2015,1.0
71094,2015,1.0
71113,2015,1.0
71114,2015,1.0
71161,2015,1.0
71167,2015,1.0
71388,2015,1.0
71389,2015,1.0
71390,2015,1.0
71391,2015,1.0
71460,2015,1.0
71479,2015,1.0
71484,2015,1.0
71490,2015,1.0
71502,2015,1.0
71503,2015,1.0
71504,2015,1.0
71505,2015,1.0
71509,2015,1.0
71511,2015,1.0
71513,2015,1.0
71515,2015,1.0
71528,2015,1.0
71534,2015,1.0
